product_id,user_id,product_name,selling_price,created_at
P000001,U000001,Wireless Mouse,29.90,2026-01-02 10:00:00
P000002,U000002,Gaming Keyboard,99.90,2026-01-02 10:05:00
P000003,U000003,USB-C Charger,19.90,2026-01-02 10:10:00
P000004,U000004,Office Chair,149.00,2026-01-02 10:15:00
P000005,U000005,Standing Desk,299.00,2026-01-02 10:20:00
P000006,U000006,Coffee Mug,7.90,2026-01-02 10:25:00
P000007,U000007,Water Bottle,12.90,2026-01-02 10:30:00
P000008,U000008,Notebook,5.50,2026-01-02 10:35:00
P000009,U000009,Pen Set,6.90,2026-01-02 10:40:00
P000010,U000010,LED Desk Lamp,39.90,2026-01-02 10:45:00
P000011,U000011,Smart Watch,199.00,2026-01-02 10:50:00
P000012,U000012,Bluetooth Speaker,89.90,2026-01-02 10:55:00
P000013,U000013,Phone Stand,9.90,2026-01-02 11:00:00
P000014,U000014,Laptop Bag,59.90,2026-01-02 11:05:00
P000015,U000015,HDMI Cable,14.90,2026-01-02 11:10:00
P000016,U000016,External SSD,129.00,2026-01-02 11:15:00
P000017,U000017,Wireless Earbuds,79.90,2026-01-02 11:20:00
P000018,U000018,Router,109.00,2026-01-02 11:25:00
P000019,U000019,Monitor 24 inch,399.00,2026-01-02 11:30:00
P000020,U000020,Mechanical Pencil,4.90,2026-01-02 11:35:00
P000021,U000021,Backpack,49.90,2026-01-02 11:40:00
P000022,U000022,Desk Fan,24.90,2026-01-02 11:45:00
P000023,U000023,Power Bank,59.90,2026-01-02 11:50:00
P000024,U000024,Smart Plug,18.90,2026-01-02 11:55:00
P000025,U000025,Webcam,69.90,2026-01-02 12:00:00
P000026,U000026,Microphone,89.00,2026-01-02 12:05:00
P000027,U000027,Graphic Tablet,159.00,2026-01-02 12:10:00
P000028,U000028,Air Purifier,249.00,2026-01-02 12:15:00
P000029,U000029,Smart Bulb,15.90,2026-01-02 12:20:00
P000030,U000030,HD Monitor Stand,39.90,2026-01-02 12:25:00
P000031,U000031,Keyboard Wrist Rest,12.90,2026-01-02 12:30:00
P000032,U000032,Mouse Pad,6.90,2026-01-02 12:35:00
P000033,U000033,USB Hub,22.90,2026-01-02 12:40:00
P000034,U000034,Smart Thermometer,34.90,2026-01-02 12:45:00
P000035,U000035,Action Camera,299.00,2026-01-02 12:50:00
P000036,U000036,Tripod,49.90,2026-01-02 12:55:00
P000037,U000037,VR Headset,499.00,2026-01-02 13:00:00
P000038,U000038,Game Controller,59.90,2026-01-02 13:05:00
P000039,U000039,Electric Kettle,39.90,2026-01-02 13:10:00
P000040,U000040,Blender,79.90,2026-01-02 13:15:00
P000041,U000041,Air Fryer,199.00,2026-01-02 13:20:00
P000042,U000042,Toaster,29.90,2026-01-02 13:25:00
P000043,U000043,Hair Dryer,49.90,2026-01-02 13:30:00
P000044,U000044,Electric Shaver,69.90,2026-01-02 13:35:00
P000045,Ua000045,Shampoo Set,19.90,2026-01-02 13:40:00
P000046,U000046,Sports Bottle,9.90,2026-01-02 13:45:00
P000047,U000047,Yoga Mat,24.90,2026-01-02 13:50:00
P000048,U000048,Dumbbells Set,89.90,2026-01-02 13:55:00
P000049,U000049,Treadmill,899.00,2026-01-02 14:00:00
P000050,U000050,Bicycle Helmet,39.90,2026-01-02 14:05:00
